volts,amps
0.586,0.767e-6
0.587,0.842e-6
0.592,0.989e-6
0.596,1.110e-6
0.599,1.263e-6
0.604,1.473e-6
0.609,1.764e-6
0.615,2.19e-6
0.623,2.92e-6
0.634,4.34e-6
0.645,6.43e-6
0.656,9.71e-6
0.666,14.33e-6
0.683,29.5e-6
0.693,42.1e-6
0.702,59.3e-6
0.712,85.7e-6
0.726,144.3e-6
0.742,256e-6
0.750,345e-6
0.757,455e-6
0.764,594e-6
0.772,829e-6
0.780,1.143e-3
0.787,1.543e-3
0.798,2.26e-3
0.804,2.92e-3
0.812,3.64e-3
0.818,4.52e-3
0.825,5.80e-3
0.832,7.26e-3
0.839,9.03e-3
0.846,11.54e-3
0.855,15.15e-3
0.863,19.87e-3
0.872,24.8e-3
