volts,amps
4.97,0.455e-6
5.21,0.478e-6
5.49,0.503e-6
5.79,0.530e-6
6.12,0.561e-6
6.51,0.597e-6
6.95,0.637e-6
7.44,0.683e-6
8.02,0.738e-6
8.69,0.806e-6
9.17,0.883e-6
9.29,1.226e-6
9.30,2.73e-6
9.31,4.55e-6
9.32,8.64e-6
9.33,15.37e-6
9.34,55.3e-6
9.35,73.4e-6
9.36,94.3e-6
9.37,112e-6
9.38,267e-6
9.39,346e-6
9.40,431e-6
9.41,528e-6
9.42,669e-6
9.43,829e-6
9.48,2.15e-3
9.45,1.427e-3
9.54,4.72e-3
9.57,6.39e-3
9.59,7.62e-3
9.62,8.93e-3
9.66,10.40e-3
9.68,11.53e-3
9.72,13.92e-3
9.78,16.58e-3
9.82,19.46e-3
