id,vto,idss
1,-0.437,0.00256
2,-0.435,0.00247
3,-0.444,0.00261
4,-0.419,0.00220
5,-0.553,0.00478
6,-0.451,0.00277
7,-0.584,0.00555
8,-0.513,0.00384
9,-0.414,0.00200
A,-0.518,0.00402

