id,vto,idss
1,-2.58,0.00446
2,-2.41,0.00396
3,-2.43,0.00402
4,-2.44,0.00404
5,-2.41,0.00396
6,-2.36,0.00382
7,-2.33,0.00374
8,-2.72,0.00481
9,-2.62,0.00450
A,-2.96,0.00548

